CCD NAME	STATE	GHCND ID	GHCND NAME	Latitude	Longitude	Jan_wnd	Feb_wnd	Mar_wnd	Apr_wnd	May_wnd	Jun_wnd	Jul_wnd	Aug_wnd	Sep_wnd	Oct_wnd	Nov_wnd	Dec_wnd	Jan_rhmin	Feb_rhmin	Mar_rhmin	Apr_rhmin	May_rhmin	Jun_rhmin	Jul_rhmin	Aug_rhmin	Sep_rhmin	Oct_rhmin	Nov_rhmin	Dec_rhmin
CHARLESTON	WV	USW00013866	CHARLESTON YEAGER AP	38.3794	-81.59	5.7	5.7	5.8	5.8	4.4	4	3.5	3.1	3.2	3.7	4.6	5.2	62	59	53	47	52	55	58	58	56	54	55	62
ELKINS	WV	USW00013729	ELKINS RANDOLPH CO AP	38.8853	-79.8528	6	6.2	6.3	6.3	4.9	4.1	3.6	3.2	3.3	4.2	5	5.5	64	61	55	50	54	58	60	60	59	54	58	65
HUNTINGTON	WV	USW00003860	HUNTINGTON TRI STATE AP	38.365	-82.555	6.9	6.9	7	6.9	5.5	5.1	4.7	4.3	4.5	5.1	6	6.4	64	60	54	48	54	57	59	59	58	54	57	64
GREEN BAY	WI	USW00014898	GREEN BAY	44.4983	-88.1111	9.6	9.6	9.7	10.4	9.2	8	7.1	6.6	7.5	8.8	9.4	9.3	70	68	65	57	55	58	58	61	61	61	67	72
LA CROSSE	WI	USW00014920	LA CROSSE MUNI AP	43.8789	-91.2528	8.6	8.7	9	9.8	8.8	8.1	7.5	7.1	8	8.9	9.3	8.6	68	65	60	52	52	55	57	59	60	58	65	71
MADISON	WI	USW00014837	MADISON DANE RGNL AP	43.1406	-89.3453	8.7	8.8	9.3	9.9	8.4	7.5	6.7	6.3	7	8	8.9	8.4	69	66	61	53	54	56	56	59	58	58	65	71
MILWAUKEE	WI	USW00014839	MILWAUKEE MITCHELL AP	42.955	-87.9044	11	10.8	11	11.4	10.2	9.1	8.9	8.5	9	10.2	10.8	10.6	68	66	63	59	60	60	60	62	61	60	65	70
CASPER	WY	USW00024089	CASPER NATRONA CO AP	42.8975	-106.4636	15.4	13.9	12.8	11.7	10.7	10.3	9.3	9.5	10.1	11.3	13.8	15.1	61	58	48	43	40	32	26	25	31	43	56	62
CHEYENNE	WY	USW00024018	CHEYENNE	41.1519	-104.8061	14.4	13.7	13.7	13.5	12	11	9.9	9.9	10.5	11.8	13.1	13.8	51	50	46	44	46	41	38	39	39	43	51	53
LANDER	WY	USW00024021	LANDER HUNT FLD AP	42.8153	-108.7261	4.8	5.2	6.7	7.4	7.3	7.5	7.1	7	6.4	5.7	5.2	4.8	60	55	45	40	38	31	27	26	32	42	56	62
SHERIDAN	WY	USW00024029	SHERIDAN CO AP	44.7694	-106.9689	6.8	7.2	8	9.1	8.3	7.2	6.6	6.3	6.5	6.8	6.7	6.7	66	62	53	47	48	46	34	32	40	50	64	67
GUAM	PC	GQW00041415	GUAM INTL AP	13.4836	144.7961	11.6	11.8	11.6	11.1	9.6	9.1	7.5	7	6.7	7.7	10.6	11.8	73	71	69	70	72	73	77	79	80	79	77	76
KOROR	PC	PSW00040309	KOROR WSO	7.3333	134.4833	6.8	7	6.6	6.1	5.3	5.5	6	6.5	6.4	5.9	5.6	6.1	76	74	73	74	77	78	78	77	76	76	77	77
KWAJALEIN- MARSHALL IS.	PC	RMW00040604	KWAJALEIN	8.7333	167.7333	17.1	16.4	16.2	15.2	14.2	13.3	11.2	9.6	8.9	9.8	12.5	16.8	72	71	71	74	76	77	77	77	76	76	77	75
MAJURO- MARSHALL IS	PC	RMW00040710	MAJURO WBAS AP	7.0833	171.3833	12.4	12.1	12.4	11.9	10.8	9.9	8.3	7.3	7.1	7.2	8.4	11.1	76	75	76	78	78	79	78	77	77	77	78	77
PAGO PAGO- AMER SAMOA	PC	AQW00061705	PAGO PAGO WSO AP	-14.3306	-170.7136	9.4	9.4	8.6	9.2	11.1	13	13.7	13.4	13.6	12.2	10.8	10	76	76	75	77	77	77	75	75	75	77	77	76
POHNPEI- CAROLINE IS.	PC	FMW00040504	POHNPEI WSO	6.9667	158.2167	7.7	7.6	7.3	6.7	6.3	5.7	5.1	4.9	5	5	5.3	6.8	78	78	79	81	82	81	81	80	81	81	82	81
